,Chain,Time_Between_Disturbances,Centroid
0,storm -> biotic-dieback,0.4986301369863014,POINT (379378.6631534199 6956539.730682227)
0,storm -> biotic-dieback,1.5013698630136987,POINT (379502.2123494004 6956443.382690211)
0,storm -> biotic-dieback,0.0,POINT (825919.6781365762 6948164.574185196)
0,biotic-dieback -> biotic-mortality,0.5013698630136987,POINT (823337.3821560497 6948113.181634852)
0,storm -> biotic-dieback,1.0,POINT (863324.4008261544 6948286.78306904)
0,storm -> biotic-dieback,0.4986301369863014,POINT (826491.9683691069 6947188.205668342)
0,storm -> biotic-dieback,0.4986301369863014,POINT (826439.2627465111 6947016.597698172)
0,storm -> biotic-dieback,0.0,POINT (819828.5608882497 6946665.310443894)
0,storm -> biotic-dieback,0.4986301369863014,POINT (819288.8672279925 6945666.184797774)
1,storm -> biotic-dieback,1.0,POINT (711012.3108608642 6944049.131450212)
0,fire -> biotic-dieback,4.002739726027397,POINT (767248.0661639796 6942933.608489294)
0,storm -> biotic-dieback,0.0,POINT (682145.1784556562 6942341.300306933)
0,biotic-dieback -> biotic-mortality,0.5013698630136987,POINT (598270.0115449257 6942494.297124751)
0,storm -> biotic-dieback,0.0,POINT (597429.6135178559 6942433.007260796)
0,biotic-dieback -> biotic-mortality,2.0027397260273974,POINT (754493.6146092999 6941550.42760058)
0,storm -> biotic-dieback,1.5013698630136987,POINT (598093.5433735754 6942194.324975486)
0,storm -> biotic-dieback,0.0,POINT (597937.9607617353 6941993.437202563)
0,storm -> biotic-dieback,0.0,POINT (561511.6264996454 6942175.919878393)
0,storm -> biotic-dieback,0.0,POINT (588675.8564134366 6941220.379655669)
0,storm -> biotic-dieback,0.0,POINT (843831.7896230182 6939636.536243615)
0,storm -> biotic-dieback,0.0,POINT (843909.2865084729 6939384.071209637)
0,storm -> biotic-dieback,2.0027397260273974,POINT (820040.5380433173 6938612.020024649)
0,storm -> biotic-dieback,1.0,POINT (592491.6593261753 6938204.78652283)
0,biotic-dieback -> biotic-mortality,0.4986301369863014,POINT (701939.0153315016 6936812.173594687)
0,storm -> biotic-dieback,0.0,POINT (701604.0881431147 6936686.890507401)
0,storm -> biotic-dieback,0.0,POINT (862152.1054763205 6938610.237386077)
0,storm -> biotic-dieback,0.0,POINT (861341.1179942393 6938462.064253311)
0,storm -> biotic-dieback,2.0,POINT (728279.2005393783 6935866.413563479)
0,storm -> biotic-dieback,1.0,POINT (845598.6649431465 6937570.723747608)
0,storm -> biotic-dieback,0.0,POINT (845885.2097185948 6937148.622614965)
0,storm -> biotic-dieback,0.00821917808219178,POINT (731130.4651626967 6935123.962469564)
0,storm -> biotic-dieback,0.0,POINT (570947.330657005 6936431.741249194)
0,storm -> biotic-dieback,0.0,POINT (846052.037020828 6936897.389656177)
0,storm -> biotic-dieback,0.0,POINT (853804.3394842374 6935471.629149931)
0,storm -> biotic-dieback,1.0,POINT (854725.2706839058 6934926.016203993)
0,storm -> biotic-dieback,0.0,POINT (854651.094292552 6934838.984376263)
0,storm -> biotic-dieback,0.0,POINT (861615.5649638305 6934518.235618382)
0,biotic-dieback -> biotic-mortality,2.0,POINT (728753.5153342551 6931571.033106662)
0,storm -> biotic-dieback,0.0,POINT (677302.638482615 6931502.090572744)
0,storm -> biotic-dieback,0.0,POINT (861909.6849545754 6933626.799472264)
0,biotic-dieback -> biotic-mortality,1.0,POINT (862856.9354758373 6932939.4475096585)
0,storm -> biotic-dieback,0.4986301369863014,POINT (925521.2201780933 6934657.964533655)
0,storm -> biotic-dieback,0.0,POINT (925635.4742181561 6934597.515625657)
0,storm -> biotic-dieback,0.0,POINT (925656.8761513621 6934514.847483799)
0,storm -> biotic-dieback,0.0,POINT (694858.8771576005 6930024.094979048)
0,storm -> biotic-dieback,2.0,POINT (913355.5618782225 6934001.139307397)
0,storm -> biotic-dieback,0.4986301369863014,POINT (695025.4802446633 6929827.67310126)
0,storm -> biotic-dieback,0.0,POINT (913432.4740959413 6933666.191210167)
0,biotic-dieback -> biotic-mortality,0.0,POINT (936395.650130435 6934558.758770229)
0,storm -> biotic-dieback,0.0,POINT (830310.4091902879 6930953.177226543)
0,storm -> biotic-dieback,0.0,POINT (886219.3357067414 6932158.463587874)
0,storm -> biotic-dieback,0.0,POINT (922232.809026892 6933462.209650125)
0,storm -> biotic-dieback,0.0,POINT (897764.1219304559 6932381.401391907)
